,0,1,2,3,4
0,2018-02-24 16:24:25,1,1,Monitor status since DTCs cleared,01-07-E1-06
1,2018-02-24 16:24:25,1,4,Calculated engine load,36.08
2,2018-02-24 16:24:25,1,5,Engine coolant temperature,85
3,2018-02-24 16:24:25,1,6,Short term fuel trim Bank 1,3.13
4,2018-02-24 16:24:25,1,7,Long term fuel trim Bank 1,-1.56
5,2018-02-24 16:24:25,1,11,Intake manifold absolute pressure,39
6,2018-02-24 16:24:25,1,12,Engine RPM,707
7,2018-02-24 16:24:25,1,13,Vehicle speed,0
8,2018-02-24 16:24:25,1,14,Timing advance,14
9,2018-02-24 16:24:25,1,15,Intake air temperature,66
10,2018-02-24 16:24:25,1,16,MAF air flow rate,2
11,2018-02-24 16:24:25,1,17,Throttle position,14.9
12,2018-02-24 16:24:25,1,21,Oxygen Sensor 2,0
13,2018-02-24 16:24:25,1,21,Oxygen Sensor 2,0
14,2018-02-24 16:24:25,1,31,Run time since engine start,1123
15,2018-02-24 16:24:25,1,33,Distance traveled with malfunction indicate,14
16,2018-02-24 16:24:25,1,44,Commanded EGR,0
17,2018-02-24 16:24:25,1,45,EGR Error,-100
18,2018-02-24 16:24:25,1,46,Commanded evaporative purge,25.1
19,2018-02-24 16:24:25,1,47,Fuel Tank Level Input,52.16
20,2018-02-24 16:24:25,1,48,Warm-ups since codes cleared,255
21,2018-02-24 16:24:25,1,49,Distance traveled since codes cleared,13160
22,2018-02-24 16:24:25,1,51,Absolute Barometric Pressure,0
23,2018-02-24 16:24:25,1,52,Oxygen Sensor 1,0
24,2018-02-24 16:24:25,1,52,Oxygen Sensor 1,-1
25,2018-02-24 16:24:25,1,60,"Catalyst Temperature: Bank 1, Sensor 1",457
26,2018-02-24 16:24:25,1,66,Control module voltage,14
27,2018-02-24 16:24:25,1,67,Absolute load value,15
28,2018-02-24 16:24:25,1,68,Fuel - Air commanded equivalence ratio,0
29,2018-02-24 16:24:25,1,69,Relative throttle position,2.75
30,2018-02-24 16:24:25,1,71,Absolute throttle position B,30.98
31,2018-02-24 16:24:25,1,73,Accelerator pedal position D,19.22
32,2018-02-24 16:24:25,1,74,Accelerator pedal position E,9.41
33,2018-02-24 16:24:25,1,76,Commanded throttle actuator,3.14
34,2018-02-24 16:24:25,1,81,Fuel Type,03
35,2018-02-24 16:24:25,1,82,Ethanol fuel %,6.67
36,2018-02-24 16:24:35,1,1,Monitor status since DTCs cleared,01-07-E1-06
37,2018-02-24 16:24:35,1,4,Calculated engine load,22.35
38,2018-02-24 16:24:35,1,5,Engine coolant temperature,85
39,2018-02-24 16:24:35,1,6,Short term fuel trim Bank 1,0
40,2018-02-24 16:24:35,1,7,Long term fuel trim Bank 1,-1.56
41,2018-02-24 16:24:35,1,11,Intake manifold absolute pressure,27
42,2018-02-24 16:24:35,1,12,Engine RPM,749
43,2018-02-24 16:24:35,1,13,Vehicle speed,0
44,2018-02-24 16:24:35,1,14,Timing advance,5
45,2018-02-24 16:24:35,1,15,Intake air temperature,66
46,2018-02-24 16:24:35,1,16,MAF air flow rate,1
47,2018-02-24 16:24:35,1,17,Throttle position,13.73
48,2018-02-24 16:24:35,1,21,Oxygen Sensor 2,0
49,2018-02-24 16:24:35,1,21,Oxygen Sensor 2,0
50,2018-02-24 16:24:35,1,31,Run time since engine start,1131
51,2018-02-24 16:24:35,1,33,Distance traveled with malfunction indicate,14
52,2018-02-24 16:24:35,1,44,Commanded EGR,0
53,2018-02-24 16:24:35,1,45,EGR Error,-100
54,2018-02-24 16:24:35,1,46,Commanded evaporative purge,21.96
55,2018-02-24 16:24:35,1,47,Fuel Tank Level Input,52.16
56,2018-02-24 16:24:35,1,48,Warm-ups since codes cleared,255
57,2018-02-24 16:24:35,1,49,Distance traveled since codes cleared,13160
58,2018-02-24 16:24:35,1,51,Absolute Barometric Pressure,0
59,2018-02-24 16:24:35,1,52,Oxygen Sensor 1,0
60,2018-02-24 16:24:35,1,52,Oxygen Sensor 1,-1
61,2018-02-24 16:24:35,1,60,"Catalyst Temperature: Bank 1, Sensor 1",457
62,2018-02-24 16:24:35,1,66,Control module voltage,14
63,2018-02-24 16:24:35,1,67,Absolute load value,17
64,2018-02-24 16:24:35,1,68,Fuel - Air commanded equivalence ratio,0
65,2018-02-24 16:24:35,1,69,Relative throttle position,3.14
66,2018-02-24 16:24:35,1,71,Absolute throttle position B,30.98
67,2018-02-24 16:24:35,1,73,Accelerator pedal position D,19.22
68,2018-02-24 16:24:35,1,74,Accelerator pedal position E,9.41
69,2018-02-24 16:24:35,1,76,Commanded throttle actuator,3.14
70,2018-02-24 16:24:35,1,81,Fuel Type,03
71,2018-02-24 16:24:35,1,82,Ethanol fuel %,6.67
72,2018-02-24 16:58:18,1,1,Monitor status since DTCs cleared,01-07-E1-06
73,2018-02-24 16:58:18,1,4,Calculated engine load,42.35
74,2018-02-24 16:58:18,1,5,Engine coolant temperature,83
75,2018-02-24 16:58:18,1,6,Short term fuel trim Bank 1,0.78
76,2018-02-24 16:58:18,1,7,Long term fuel trim Bank 1,-0.78
77,2018-02-24 16:58:18,1,11,Intake manifold absolute pressure,40
78,2018-02-24 16:58:18,1,12,Engine RPM,748
79,2018-02-24 16:58:18,1,13,Vehicle speed,0
80,2018-02-24 16:58:18,1,14,Timing advance,4
81,2018-02-24 16:58:18,1,15,Intake air temperature,55
82,2018-02-24 16:58:18,1,16,MAF air flow rate,3
83,2018-02-24 16:58:18,1,17,Throttle position,15.29
84,2018-02-24 16:58:18,1,21,Oxygen Sensor 2,0
85,2018-02-24 16:58:18,1,21,Oxygen Sensor 2,-1
86,2018-02-24 16:58:18,1,31,Run time since engine start,55
87,2018-02-24 16:58:18,1,33,Distance traveled with malfunction indicate,14
88,2018-02-24 16:58:18,1,44,Commanded EGR,0
89,2018-02-24 16:58:18,1,45,EGR Error,-100
90,2018-02-24 16:58:18,1,46,Commanded evaporative purge,0
91,2018-02-24 16:58:18,1,47,Fuel Tank Level Input,51.76
92,2018-02-24 16:58:18,1,48,Warm-ups since codes cleared,255
93,2018-02-24 16:58:18,1,49,Distance traveled since codes cleared,13160
94,2018-02-24 16:58:18,1,51,Absolute Barometric Pressure,0
95,2018-02-24 16:58:18,1,52,Oxygen Sensor 1,0
96,2018-02-24 16:58:18,1,52,Oxygen Sensor 1,-256
97,2018-02-24 16:58:18,1,60,"Catalyst Temperature: Bank 1, Sensor 1",182
98,2018-02-24 16:58:18,1,66,Control module voltage,14
99,2018-02-24 16:58:18,1,67,Absolute load value,31
100,2018-02-24 16:58:18,1,68,Fuel - Air commanded equivalence ratio,0
101,2018-02-24 16:58:18,1,69,Relative throttle position,4.71
102,2018-02-24 16:58:18,1,71,Absolute throttle position B,31.76
103,2018-02-24 16:58:18,1,73,Accelerator pedal position D,19.22
104,2018-02-24 16:58:18,1,74,Accelerator pedal position E,9.41
105,2018-02-24 16:58:18,1,76,Commanded throttle actuator,5.1
106,2018-02-24 16:58:18,1,81,Fuel Type,03
107,2018-02-24 16:58:18,1,82,Ethanol fuel %,9.02
108,2018-02-24 16:58:31,1,1,Monitor status since DTCs cleared,01-07-E1-06
109,2018-02-24 16:58:31,1,4,Calculated engine load,42.35
110,2018-02-24 16:58:31,1,5,Engine coolant temperature,83
111,2018-02-24 16:58:31,1,6,Short term fuel trim Bank 1,0.78
112,2018-02-24 16:58:31,1,7,Long term fuel trim Bank 1,-0.78
113,2018-02-24 16:58:31,1,11,Intake manifold absolute pressure,40
114,2018-02-24 16:58:31,1,12,Engine RPM,748
115,2018-02-24 16:58:31,1,13,Vehicle speed,0
116,2018-02-24 16:58:31,1,14,Timing advance,4
117,2018-02-24 16:58:31,1,15,Intake air temperature,55
118,2018-02-24 16:58:31,1,16,MAF air flow rate,3
119,2018-02-24 16:58:31,1,17,Throttle position,15.29
120,2018-02-24 16:58:31,1,21,Oxygen Sensor 2,0
121,2018-02-24 16:58:31,1,21,Oxygen Sensor 2,-1
122,2018-02-24 16:58:31,1,31,Run time since engine start,55
123,2018-02-24 16:58:31,1,33,Distance traveled with malfunction indicate,14
124,2018-02-24 16:58:31,1,44,Commanded EGR,0
125,2018-02-24 16:58:31,1,45,EGR Error,-100
126,2018-02-24 16:58:31,1,46,Commanded evaporative purge,0
127,2018-02-24 16:58:31,1,47,Fuel Tank Level Input,51.76
128,2018-02-24 16:58:31,1,48,Warm-ups since codes cleared,255
129,2018-02-24 16:58:31,1,49,Distance traveled since codes cleared,13160
130,2018-02-24 16:58:31,1,51,Absolute Barometric Pressure,0
131,2018-02-24 16:58:31,1,52,Oxygen Sensor 1,0
132,2018-02-24 16:58:31,1,52,Oxygen Sensor 1,-256
133,2018-02-24 16:58:31,1,60,"Catalyst Temperature: Bank 1, Sensor 1",182
134,2018-02-24 16:58:31,1,66,Control module voltage,14
135,2018-02-24 16:58:31,1,67,Absolute load value,31
136,2018-02-24 16:58:31,1,68,Fuel - Air commanded equivalence ratio,0
137,2018-02-24 16:58:31,1,69,Relative throttle position,4.71
138,2018-02-24 16:58:31,1,71,Absolute throttle position B,31.76
139,2018-02-24 16:58:31,1,73,Accelerator pedal position D,19.22
140,2018-02-24 16:58:31,1,74,Accelerator pedal position E,9.41
141,2018-02-24 16:58:31,1,76,Commanded throttle actuator,5.1
142,2018-02-24 16:58:31,1,81,Fuel Type,03
143,2018-02-24 16:58:31,1,82,Ethanol fuel %,9.02
144,2018-02-24 16:58:38,1,1,Monitor status since DTCs cleared,01-07-E1-06
145,2018-02-24 16:58:38,1,4,Calculated engine load,42.35
146,2018-02-24 16:58:38,1,5,Engine coolant temperature,83
147,2018-02-24 16:58:38,1,6,Short term fuel trim Bank 1,0.78
148,2018-02-24 16:58:38,1,7,Long term fuel trim Bank 1,-0.78
149,2018-02-24 16:58:38,1,11,Intake manifold absolute pressure,40
150,2018-02-24 16:58:38,1,12,Engine RPM,748
151,2018-02-24 16:58:38,1,13,Vehicle speed,0
152,2018-02-24 16:58:38,1,14,Timing advance,4
153,2018-02-24 16:58:38,1,15,Intake air temperature,55
154,2018-02-24 16:58:38,1,16,MAF air flow rate,3
155,2018-02-24 16:58:38,1,17,Throttle position,15.29
156,2018-02-24 16:58:38,1,21,Oxygen Sensor 2,0
157,2018-02-24 16:58:38,1,21,Oxygen Sensor 2,-1
158,2018-02-24 16:58:38,1,31,Run time since engine start,55
159,2018-02-24 16:58:38,1,33,Distance traveled with malfunction indicate,14
160,2018-02-24 16:58:38,1,44,Commanded EGR,0
