,0,1,2,3,4
0,2018-03-05 09:52:51,1,4,Calculated engine load,33.33
1,2018-03-05 09:52:51,1,5,Engine coolant temperature,79
2,2018-03-05 09:52:51,1,6,Short term fuel trim Bank 1,0
3,2018-03-05 09:52:51,1,7,Long term fuel trim Bank 1,-2.34
4,2018-03-05 09:52:51,1,11,Intake manifold absolute pressure,29
5,2018-03-05 09:52:51,1,12,Engine RPM,1031
6,2018-03-05 09:52:51,1,13,Vehicle speed,43
7,2018-03-05 09:52:51,1,14,Timing advance,-20
8,2018-03-05 09:52:51,1,15,Intake air temperature,33
9,2018-03-05 09:52:51,1,16,MAF air flow rate,3
10,2018-03-05 09:52:51,1,17,Throttle position,14.9
11,2018-03-05 09:52:51,1,21,Oxygen Sensor 2,0
12,2018-03-05 09:52:51,1,21,Oxygen Sensor 2,99
13,2018-03-05 09:52:51,1,31,Run time since engine start,182
14,2018-03-05 09:52:51,1,33,Distance traveled with malfunction indicate,14
15,2018-03-05 09:52:51,1,44,Commanded EGR,0
16,2018-03-05 09:52:51,1,45,EGR Error,-100
17,2018-03-05 09:52:51,1,46,Commanded evaporative purge,0
18,2018-03-05 09:52:51,1,47,Fuel Tank Level Input,43.53
19,2018-03-05 09:52:51,1,48,Warm-ups since codes cleared,255
20,2018-03-05 09:52:51,1,49,Distance traveled since codes cleared,13569
21,2018-03-05 09:52:51,1,51,Absolute Barometric Pressure,0
22,2018-03-05 09:52:51,1,52,Oxygen Sensor 1,0
23,2018-03-05 09:52:51,1,52,Oxygen Sensor 1,-255
24,2018-03-05 09:52:51,1,60,"Catalyst Temperature: Bank 1, Sensor 1",580
25,2018-03-05 09:52:51,1,66,Control module voltage,14
26,2018-03-05 09:52:51,1,67,Absolute load value,15
27,2018-03-05 09:52:51,1,68,Fuel - Air commanded equivalence ratio,0
28,2018-03-05 09:52:51,1,69,Relative throttle position,4.31
29,2018-03-05 09:52:51,1,71,Absolute throttle position B,31.76
30,2018-03-05 09:52:51,1,73,Accelerator pedal position D,19.22
31,2018-03-05 09:52:51,1,74,Accelerator pedal position E,9.41
32,2018-03-05 09:52:51,1,76,Commanded throttle actuator,4.71
33,2018-03-05 09:52:51,1,81,Fuel Type,03
34,2018-03-05 09:52:51,1,82,Ethanol fuel %,5.88
